"id","county","classify","project_type","zbkzj","k1","k2","kbjj","publish_time","source_website_address","numbers_bidders","trade_method"
"ah-huainan-00ee95ae-0e87-4c88-8536-bd69a6fef380-1KB",,"工程建设","市政公用工程","13987254.03","0.45","0.98","12998355.17","25/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230625/00ee95ae-0e87-4c88-8536-bd69a6fef380-1KB.html","196","公开招标"
"ah-huainan-0475afc0-0b3d-45cb-91be-634a70db1750-1KB",,"工程建设",,,"0.45","0.95",,"26/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230626/0475afc0-0b3d-45cb-91be-634a70db1750-1KB.html","175","公开招标"
"ah-huainan-0af4d2d7-c8d7-42c0-bdf2-f93e36a34820-1KB",,"工程建设",,,"0",,,"25/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230625/0af4d2d7-c8d7-42c0-bdf2-f93e36a34820-1KB.html","38","公开招标"
"ah-huainan-15b79119-585b-4b3f-af68-2f877bcb3c61-1KB",,"工程建设",,,,,,"29/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230629/15b79119-585b-4b3f-af68-2f877bcb3c61-1KB.html","39",
"ah-huainan-1971435b-eb1f-4037-8c63-7f897148cb7d-1KB",,"工程建设",,,,,,"26/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230626/1971435b-eb1f-4037-8c63-7f897148cb7d-1KB.html","11","公开招标"
"ah-huainan-2e35884d-08f6-409e-9c31-32aab519089a-1KB",,"工程建设",,,"0.4","0.98",,"27/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230627/2e35884d-08f6-409e-9c31-32aab519089a-1KB.html","181",
"ah-huainan-34b6ba2b-b78f-4aef-b2b9-2b7f3206deea-1KB",,"工程建设",,,"0.4","0.98",,"27/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230627/34b6ba2b-b78f-4aef-b2b9-2b7f3206deea-1KB.html","180",
"ah-huainan-34dfc11a-d912-43ec-973e-e8714923fec2-1KB",,"工程建设",,,"0.5","0.96",,"27/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230627/34dfc11a-d912-43ec-973e-e8714923fec2-1KB.html","181",
"ah-huainan-37ecffef-c8e9-42c3-9ab5-c3ecffd33850-1KB",,"工程建设",,,,,,"27/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230627/37ecffef-c8e9-42c3-9ab5-c3ecffd33850-1KB.html","23",
"ah-huainan-3ca41e55-7db5-45db-93e8-50c0c232db24-1KB",,"工程建设",,,"0",,,"29/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012003/20230629/3ca41e55-7db5-45db-93e8-50c0c232db24-1KB.html","72",
"ah-huainan-4288227e-9d59-4ffd-a9b5-3c84f5cfdbbf-1KB",,"工程建设",,,"0.4","0.98",,"27/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230627/4288227e-9d59-4ffd-a9b5-3c84f5cfdbbf-1KB.html","181",
"ah-huainan-4cc0b031-c56c-46e3-9c0e-89b60242c9df-1KB",,"工程建设",,,"0",,,"24/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230624/4cc0b031-c56c-46e3-9c0e-89b60242c9df-1KB.html","20","公开招标"
"ah-huainan-4f44ec6a-07b0-4040-8a6d-91a5babc029e-1KB",,"工程建设",,,"0",,,"25/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230625/4f44ec6a-07b0-4040-8a6d-91a5babc029e-1KB.html","54","公开招标"
"ah-huainan-64009c4d-aad7-453a-8f8c-b1f51ce6ee39-1KB",,"工程建设",,,,,,"26/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012003/20230626/64009c4d-aad7-453a-8f8c-b1f51ce6ee39-1KB.html","17","公开招标"
"ah-huainan-6fa001e4-c2e8-4fa9-861d-0b879ba8689f-1KB",,"工程建设",,,"0.45","0.94",,"27/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230627/6fa001e4-c2e8-4fa9-861d-0b879ba8689f-1KB.html","182",
"ah-huainan-754d1270-7960-4745-be82-59ba4b531e29-1KB",,"工程建设",,,"0.4","0.98",,"27/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230627/754d1270-7960-4745-be82-59ba4b531e29-1KB.html","180",
"ah-huainan-7dc3d33b-18f1-452e-b60e-029d29acfc31-1KB",,"工程建设",,,"0",,,"25/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230625/7dc3d33b-18f1-452e-b60e-029d29acfc31-1KB.html","6","公开招标"
"ah-huainan-7f515f75-f065-4605-b84f-0c4742bd7b96-1KB",,"工程建设",,,"0",,,"29/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012003/20230629/7f515f75-f065-4605-b84f-0c4742bd7b96-1KB.html","31",
"ah-huainan-a064d44e-ae6b-4b79-9f42-f2185f5a87e9-1KB",,"工程建设",,,"0.1",,,"27/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230627/a064d44e-ae6b-4b79-9f42-f2185f5a87e9-1KB.html","151",
"ah-huainan-b4b17bb4-a12b-4c83-91e2-e2372a166633-1KB",,"工程建设",,,"0.5","0.95",,"27/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230627/b4b17bb4-a12b-4c83-91e2-e2372a166633-1KB.html","184",
"ah-huainan-c560d179-9d22-4c17-a486-587dcabb83e0-1KB",,"工程建设",,,"0.45","0.96",,"29/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230629/c560d179-9d22-4c17-a486-587dcabb83e0-1KB.html","63",
"ah-huainan-e16f7d15-490e-4098-b14b-f3e1d997fb6f-1KB",,"工程建设",,,"0.5","0.96",,"27/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230627/e16f7d15-490e-4098-b14b-f3e1d997fb6f-1KB.html","181",
"ah-huainan-f432d3b4-133e-44f2-b339-9ce82ced0689-1KB",,"工程建设",,,"0.6","0.95",,"28/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230628/f432d3b4-133e-44f2-b339-9ce82ced0689-1KB.html","180",
"ah-huainan-f770b371-5886-4960-b0d7-2c8df2edb896-1KB",,"工程建设",,,"0.45","0.94",,"27/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230627/f770b371-5886-4960-b0d7-2c8df2edb896-1KB.html","183",
